title,price,star_rating,availability,category,book_url
Sharp Objects,Â£47.82,Four,In stock,Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",Â£19.63,One,In stock,Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
The Past Never Ends,Â£56.50,Four,In stock,Mystery,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
A Murder in Time,Â£16.64,One,In stock,Mystery,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,Four,In stock,Mystery,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),Â£54.21,Two,In stock,Mystery,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),Â£13.92,One,In stock,Mystery,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,One,In stock,Mystery,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),Â£48.35,Five,In stock,Mystery,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,Two,In stock,Mystery,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),Â£26.80,Three,In stock,Mystery,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,Four,In stock,Mystery,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,Â£35.28,Three,In stock,Mystery,https://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),Â£11.84,One,In stock,Mystery,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
